Group,Count,Owner,Parent.int_groups,Register,Field,Path,Name,Type,Allow during port up,FLags,Severity,,info (I) action (default is none),I->E count thresh,,error (E) action (default is count),Error->Fatal count threshold,Description (or Action in case of Fatal),,fatal (F) action (default is reset)
p4,2,Alessandro,dpp.dpp[#],int_credit,err_framer_hdrsize_zero_ovfl,dpp.dpp[#].int_credit,int_credit.err_framer_hdrsize_zero_ovfl,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_credit,framer_credit_ovflow,dpp.dpp[#].int_credit,int_credit.framer_credit_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_credit,framer_credit_undflow,dpp.dpp[#].int_credit,int_credit.framer_credit_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_credit,framer_hdrfld_offset_ovfl,dpp.dpp[#].int_credit,int_credit.framer_hdrfld_offset_ovfl,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_credit,framer_hdrfld_vld_ovfl,dpp.dpp[#].int_credit,int_credit.framer_hdrfld_vld_ovfl,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_credit,pkt_credit_ovflow,dpp.dpp[#].int_credit,int_credit.pkt_credit_ovflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_credit,pkt_credit_undflow,dpp.dpp[#].int_credit,int_credit.pkt_credit_undflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_credit,ptr_credit_ovflow,dpp.dpp[#].int_credit,int_credit.ptr_credit_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_credit,ptr_credit_undflow,dpp.dpp[#].int_credit,int_credit.ptr_credit_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_fifo,csum_phv_ff_ovflow,dpp.dpp[#].int_fifo,int_fifo.csum_phv_ff_ovflow,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_fifo,csum_phv_ff_undflow,dpp.dpp[#].int_fifo,int_fifo.csum_phv_ff_undflow,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_fifo,ohi_ff_overflow,dpp.dpp[#].int_fifo,int_fifo.ohi_ff_overflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_fifo,phv_ff_overflow,dpp.dpp[#].int_fifo,int_fifo.phv_ff_overflow,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_fifo,pkt_size_ff_ovflow,dpp.dpp[#].int_fifo,int_fifo.pkt_size_ff_ovflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_fifo,pkt_size_ff_undflow,dpp.dpp[#].int_fifo,int_fifo.pkt_size_ff_undflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_clip_max_pkt_size,dpp.dpp[#].int_reg#,int_reg#.err_clip_max_pkt_size,pkt,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. Packet constructed goes beyond programmed or hardwires  max byte threshold (whichever is less),,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_crc_multiple_hdr,dpp.dpp[#].int_reg#,int_reg#.err_crc_multiple_hdr,,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. more than one header requesting crc computation,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_csum_multiple_hdr,dpp.dpp[#].int_reg#,int_reg#.err_csum_multiple_hdr,,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. more than one header requesting same csum engine computation,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_csum_multiple_hdr_copy,dpp.dpp[#].int_reg#,int_reg#.err_csum_multiple_hdr_copy,,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. more than one header requesting csum copy,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_framer_credit_overrun,dpp.dpp[#].int_reg#,int_reg#.err_framer_credit_overrun,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_max_active_hdrs,dpp.dpp[#].int_reg#,int_reg#.err_max_active_hdrs,,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. exceeding max number of available headers per 64 byte line,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_max_pkt_size,dpp.dpp[#].int_reg#,int_reg#.err_max_pkt_size,pkt,,None,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. packet built size exceeding programmed threshold  ,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_min_pkt_size,dpp.dpp[#].int_reg#,int_reg#.err_min_pkt_size,pkt,,None,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. packet built size too small to carry vital intrinsic information,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_null_hdr_vld,dpp.dpp[#].int_reg#,int_reg#.err_null_hdr_vld,,,None,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. packet has no headers (0 size),,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_null_hdrfld_vld,dpp.dpp[#].int_reg#,int_reg#.err_null_hdrfld_vld,,,None,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. packet has no headers (0 size),,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_ohi_eop_no_sop,dpp.dpp[#].int_reg#,int_reg#.err_ohi_eop_no_sop,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_ohi_sop_no_eop,dpp.dpp[#].int_reg#,int_reg#.err_ohi_sop_no_eop,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_packets_in_flight_credit_overrun,dpp.dpp[#].int_reg#,int_reg#.err_packets_in_flight_credit_overrun,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_phv_eop_no_sop,dpp.dpp[#].int_reg#,int_reg#.err_phv_eop_no_sop,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_phv_no_data_reference_ohi,dpp.dpp[#].int_reg#,int_reg#.err_phv_no_data_reference_ohi,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,P4 program/compiler error. reference to a byte in the incoming packet on a software PHV originated frame with no associated packet,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_phv_sop_no_eop,dpp.dpp[#].int_reg#,int_reg#.err_phv_sop_no_eop,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_ptr_fifo_credit_overrun,dpp.dpp[#].int_reg#,int_reg#.err_ptr_fifo_credit_overrun,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,fieldC,dpp.dpp[#].int_reg#,int_reg#.fieldC,,,None,info (I),,n/a,n/a,,n/a,n/a,spare,,
p4,2,Alessandro,dpp.dpp[#],int_reg#,fieldD,dpp.dpp[#].int_reg#,int_reg#.fieldD,,,None,info (I),,n/a,n/a,,n/a,n/a,spare,,
p4,64,Alessandro,dpp.dpp[#],int_spare,spare_#,dpp.dpp[#].int_spare,int_spare.spare_#,,,None,error (E),,n/a,n/a,,"Fix P4 program, except spare_2: capture engaged used for debug; is INFO",never,spare_0: err_headerfld_size. P4 program/compiler error. header size is grater than > 16Kbytes; spare_1: err_adder_overflow P4 program/compiler error acccumulated header size is grater than > 16Kbytes; spare_2: capture engaged used for debug;,,
p4,2,Alessandro,dpp.dpp[#],int_srams_ecc,dpp_ohi_fifo_correctable,dpp.dpp[#].int_srams_ecc,int_srams_ecc.dpp_ohi_fifo_correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,2,Alessandro,dpp.dpp[#],int_srams_ecc,dpp_ohi_fifo_uncorrectable,dpp.dpp[#].int_srams_ecc,int_srams_ecc.dpp_ohi_fifo_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4,2,Alessandro,dpp.dpp[#],int_srams_ecc,dpp_phv_fifo_correctable,dpp.dpp[#].int_srams_ecc,int_srams_ecc.dpp_phv_fifo_correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,2,Alessandro,dpp.dpp[#],int_srams_ecc,dpp_phv_fifo_uncorrectable,dpp.dpp[#].int_srams_ecc,int_srams_ecc.dpp_phv_fifo_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_credit,egress_credit_ovflow,dpr.dpr[#].int_credit,int_credit.egress_credit_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_credit,egress_credit_undflow,dpr.dpr[#].int_credit,int_credit.egress_credit_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_credit,pktout_credit_ovflow,dpr.dpr[#].int_credit,int_credit.pktout_credit_ovflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_credit,pktout_credit_undflow,dpr.dpr[#].int_credit,int_credit.pktout_credit_undflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_fifo,csum_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.csum_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
