Group,Count,Owner,Parent.int_groups,Register,Field,Path,Name,Type,Allow during port up,"Flags for SW
ignore_all
ignore_once
none",Severity,,info (I) action (default is none),I->E count thresh,,error (E) action (default is count),Error->Fatal count threshold,Description or Action in case of Fatal,,vs. Capri,,fatal (F) action (default is reset),1st,Line,Key
p4,2,Alessandro,dpp.dpp[#],int_credit,err_framer_hdrsize_zero_ovfl,dpp.dpp[#].int_credit,int_credit.err_framer_hdrsize_zero_ovfl,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,48,int_crediterr_framer_hdrsize_zero_ovfldpp.dpp[#].int_creditint_credit.err_framer_hdrsize_zero_ovfl
p4,2,Alessandro,dpp.dpp[#],int_credit,framer_credit_ovflow,dpp.dpp[#].int_credit,int_credit.framer_credit_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,49,int_creditframer_credit_ovflowdpp.dpp[#].int_creditint_credit.framer_credit_ovflow
p4,2,Alessandro,dpp.dpp[#],int_credit,framer_credit_undflow,dpp.dpp[#].int_credit,int_credit.framer_credit_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,50,int_creditframer_credit_undflowdpp.dpp[#].int_creditint_credit.framer_credit_undflow
p4,2,Alessandro,dpp.dpp[#],int_credit,framer_hdrfld_offset_ovfl,dpp.dpp[#].int_credit,int_credit.framer_hdrfld_offset_ovfl,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,51,int_creditframer_hdrfld_offset_ovfldpp.dpp[#].int_creditint_credit.framer_hdrfld_offset_ovfl
p4,2,Alessandro,dpp.dpp[#],int_credit,framer_hdrfld_vld_ovfl,dpp.dpp[#].int_credit,int_credit.framer_hdrfld_vld_ovfl,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,52,int_creditframer_hdrfld_vld_ovfldpp.dpp[#].int_creditint_credit.framer_hdrfld_vld_ovfl
p4,2,Alessandro,dpp.dpp[#],int_credit,pkt_credit_ovflow,dpp.dpp[#].int_credit,int_credit.pkt_credit_ovflow,pkt,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,53,int_creditpkt_credit_ovflowdpp.dpp[#].int_creditint_credit.pkt_credit_ovflow
p4,2,Alessandro,dpp.dpp[#],int_credit,pkt_credit_undflow,dpp.dpp[#].int_credit,int_credit.pkt_credit_undflow,pkt,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,54,int_creditpkt_credit_undflowdpp.dpp[#].int_creditint_credit.pkt_credit_undflow
p4,2,Alessandro,dpp.dpp[#],int_credit,ptr_credit_ovflow,dpp.dpp[#].int_credit,int_credit.ptr_credit_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,55,int_creditptr_credit_ovflowdpp.dpp[#].int_creditint_credit.ptr_credit_ovflow
p4,2,Alessandro,dpp.dpp[#],int_credit,ptr_credit_undflow,dpp.dpp[#].int_credit,int_credit.ptr_credit_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,56,int_creditptr_credit_undflowdpp.dpp[#].int_creditint_credit.ptr_credit_undflow
p4,2,Alessandro,dpp.dpp[#],int_dbg,dpr_ohi_drdy,dpp.dpp[#].int_dbg,int_dbg.dpr_ohi_drdy,,,ignore_all,info (I),,none,n/a,,n/a,n/a,Info,,added,,,1,57,int_dbgdpr_ohi_drdydpp.dpp[#].int_dbgint_dbg.dpr_ohi_drdy
